id,Logbook type,Päivämäärä,Tunnus,Tyyppi,Lähtökenttä,Laskukenttä,Off Block,Lähtöaika,Laskuaika,On Block,Takeoff-landing flight time,Block flight time,Laskuja päivällä,Laskuja yöllä,Pilot config,Engine config,Yölentoaika,Mittarilentoaika,PIC,Copilot,Opettaja,Oppilas,Lähtötapa,Irroituskorkeus,Max korkeus,Matka km,Moott.p.,Lentotyyppi,Omat muistiinpanot
36435,easa,17.12.2021,OH-CAM,C172,EFHV,EFHV,17:57,18:07,18:24,18:27,17,30,0,3,1,1,30,0,1,,,,,,,,,HAR,
36117,easa,30.10.2021,OH-CAM,C172,EFHV,EFPR,11:54,12:02,12:57,12:59,55,65,1,0,1,1,0,0,1,,1,,,,,,,KOU,
36118,easa,30.10.2021,OH-CAM,C172,EFPR,EFHV,12:59,13:01,14:29,14:31,88,92,5,0,1,1,0,0,1,,1,,,,,,,KOU,
36119,easa,30.10.2021,OH-CAM,C172,EFHV,EFHV,14:46,14:59,15:32,15:35,33,49,5,0,1,1,0,0,1,,1,,,,,,,KOU,
35999,easa,13.10.2021,OH-CTL,C172M,Tuusula,Hiidenvesi,11:59,12:10,12:42,12:46,32,47,3,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
36000,easa,13.10.2021,OH-CTL,C172M,Hiidenvesi,Tuusula,13:30,13:33,14:06,14:10,33,40,3,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
35997,easa,10.09.2021,OH-CTL,C172M,Tuusula,Sandö,18:00,18:07,18:43,18:50,36,50,3,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
35998,easa,10.09.2021,OH-CTL,C172M,Sandö,Tuusula,18:54,19:00,19:26,19:40,26,46,1,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
35996,easa,22.08.2021,OH-CTL,C172M,Tuusula,Vääksy,18:38,18:44,19:34,19:36,50,58,2,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
30473,easa,30.05.2021,OH-CTL,C172M,Räyskälä,Loppijärvi,12:14,12:22,12:32,12:35,10,21,1,0,1,1,0,0,1,,,,,,,,,MAT,
30476,easa,30.05.2021,OH-CTL,C172M,Loppijärvi,Tuusulanjärvi,14:14,14:16,14:33,14:44,17,30,1,0,1,1,0,0,1,,,,,,,,,SII,
30472,easa,27.05.2021,OH-CTL,C172M,Vääksy,Räyskälä,17:25,17:28,18:25,18:31,57,66,9,0,1,1,0,0,1,,,,,,,,,KOU,Opettajan kertauskoululento ja kerhotarkkari, Sinervä opettajana
29159,easa,18.04.2021,OH-COK,Cessna C172N,EFPR,EFIM,07:25,07:34,08:34,08:38,60,73,1,0,1,1,0,0,1,,,,,,,,,,
29160,easa,18.04.2021,OH-COK,Cessna C172N,EFIM,EFPR,10:54,10:58,12:02,12:04,64,70,1,0,1,1,0,0,1,,,,,,,,,,
28943,easa,08.04.2021,OH-COK,Cessna C172N,EFPR,EFPR,19:00,19:07,20:14,20:16,67,76,3,0,1,1,0,0,1,,,,,,,,,,
21746,easa,19.04.2020,OH-CAY,C172,EFRY,EFHV,17:31,17:38,17:58,18:00,20,29,1,0,1,1,0,0,1,,,,,,,,,,
21749,easa,19.04.2020,OH-CGX,C172,EFHV,EFHV,18:51,18:59,19:08,19:10,9,19,1,0,1,1,0,0,1,,,,,,,,,,
