"Date","Aircraft_Type","Aircraft_Reg","Departure","Arrival","Off_Block","On_Block","Takeoff","Landing","Block_Time","Total_Time","Instrument_Time","Night_Time","PIC_Time","Student_Time","Instructor_Time","pic_name","Landings","Remarks","Cumulative_Total","Cumulative_PIC","Cumulative_Student","Cumulative_Instrument","Cumulative_SEP_Sea","Cumulative_Landings","Cumulative_Instructor"
"12/05/2023","C172","OH-CTL","Laajasalo","Laajasalo","09:35Z","10:27Z","","","0:52","0:52","","","0:52","","0:52","self","11","","915:44","756:04","159:40","78:08","248:45","2369","86:37"
"12/05/2023","C172","OH-CTL","Laajasalo","Laajasalo","10:29Z","11:03Z","","","0:34","0:34","","","","0:34","","Sinervä","12","","916:18","756:04","160:14","78:08","249:19","2381","86:37"
"09/05/2023","SR20","OH-ESR","EFNU","EFNU","11:40Z","12:30Z","","","0:50","0:50","","","0:50","","","self","3","","917:08","756:54","160:14","78:08","249:19","2384","86:37"
"19/05/2023","C172","OH-CTL","Tuusulanjärvi","Anttola","10:47Z","12:15Z","","","1:28","1:28","","","1:28","","","self","1","","918:36","758:22","160:14","78:08","250:47","2385","86:37"
"19/05/2023","C172","OH-CTL","Anttola","Leikonvesi","13:56Z","14:30Z","","","0:34","0:34","","","0:34","","","self","1","","919:10","758:56","160:14","78:08","251:21","2386","86:37"
"21/05/2023","C172","OH-CTL","Leikonvesi","Siltasaari","10:20Z","11:40Z","","","1:20","1:20","","","1:20","","","self","1","","920:30","760:16","160:14","78:08","252:41","2387","86:37"
"21/05/2023","C172","OH-CTL","Siltasaari","Tuusulanjärvi","12:33Z","13:40Z","","","1:07","1:07","","","1:07","","","self","1","","921:37","761:23","160:14","78:08","253:48","2388","86:37"
"24/05/2023","C172","OH-CTL","Tuusula","Tuusula","12:37Z","14:00Z","","","1:23","1:23","","","1:23","","1:23","self","7","","923:00","762:46","160:14","78:08","255:11","2395","88:00"
"04/06/2023","SR20","OH-ESR","EFNU","EFNU","16:29Z","17:05Z","","","0:36","0:36","","","0:36","","","self","3","","923:36","763:22","160:14","78:08","255:11","2398","88:00"
"06/06/2023","C172","OH-CTL","Tuusula","Pellinki","15:30Z","16:25Z","","","0:55","0:55","","","0:55","","","self","3","","924:31","764:17","160:14","78:08","256:06","2401","88:00"
"06/06/2023","C172","OH-CTL","Pellinki","Tuusula","16:59Z","17:35Z","","","0:36","0:36","","","0:36","","","self","1","","925:07","764:53","160:14","78:08","256:42","2402","88:00"
"14/06/2023","C172","OH-CTL","Tuusula","Halsholmen","10:03Z","10:48Z","","","0:45","0:45","","","0:45","","0:45","self","5","","925:52","765:38","160:14","78:08","257:27","2407","88:45"
"14/06/2023","C172","OH-CTL","Halsholmen","Tuusula","10:50Z","11:18Z","","","0:28","0:28","","","0:28","","0:28","self","1","","926:20","766:06","160:14","78:08","257:55","2408","89:13"
"19/06/2023","C172","OH-CTL","Tuusulanjärvi","Tuusulanjärvi","13:48Z","15:19Z","","","1:31","1:31","","","1:31","","1:31","self","9","","927:51","767:37","160:14","78:08","259:26","2417","90:44"
"20/06/2023","C172","OH-CTL","Tuusulanjärvi","Tuusulanjärvi","16:08Z","17:44Z","","","1:36","1:36","","","1:36","","1:36","self","5","","929:27","769:13","160:14","78:08","261:02","2422","92:20"
"29/06/2023","C172","OH-CAY","EFHV","EFHV","11:45Z","12:42Z","","","1:02","1:02","","","1:02","","1:02","self","4","","930:29","770:15","160:14","78:08","261:02","2426","93:22"
"29/06/2023","C172","OH-CAY","EFHV","EFHV","13:06Z","13:31Z","","","0:25","0:25","","","0:25","","","self","3","","930:54","770:40","160:14","78:08","261:02","2429","93:22"
"06/07/2023","P28A","OH-PDP","EFLA","EFHV","18:20Z","18:59Z","","","0:39","0:39","","","0:39","","","self","1","","931:33","771:19","160:14","78:08","261:02","2430","93:22"
"07/07/2023","P28A","OH-PDP","EFHV","EFRY","11:58Z","12:27Z","","","0:29","0:29","","","0:29","","","self","1","","932:02","771:48","160:14","78:08","261:02","2431","93:22"
"07/07/2023","P28A","OH-PDP","EFRY","EFFO","13:10Z","13:32Z","","","0:22","0:22","","","0:22","","","self","1","","932:24","772:10","160:14","78:08","261:02","2432","93:22"
"07/07/2023","P28A","OH-PDP","EFFO","EFLA","14:25Z","15:12Z","","","0:47","0:47","","","0:47","","","self","1","","933:11","772:57","160:14","78:08","261:02","2433","93:22"
"07/07/2023","P28A","OH-PDP","EFLA","EFHV","15:31Z","16:05Z","","","0:34","0:34","","","0:34","","","self","1","","933:45","773:31","160:14","78:08","261:02","2434","93:22"
"12/07/2023","P28A","OH-PDP","EFHV","EFPR","11:40Z","12:25Z","","","0:45","0:45","","","0:45","","","self","1","","934:30","774:16","160:14","78:08","261:02","2435","93:22"
"12/07/2023","P28A","OH-PDP","EFPR","EFHV","12:41Z","13:27Z","","","0:46","0:46","","","0:46","","","self","2","","935:16","775:02","160:14","78:08","261:02","2437","93:22"
"14/07/2023","P28A","OH-PIF","EFLA","EFLA","12:43Z","14:50Z","","","2:07","2:07","1:52","","2:07","","","self","3","","937:23","777:09","160:14","80:00","261:02","2440","93:22"
"15/07/2023","SR20","OH-ESR","EFNU","EFTU","12:30Z","13:16Z","","","0:46","0:46","","","0:46","","","self","1","","938:09","777:55","160:14","80:00","261:02","2441","93:22"
"15/07/2023","SR20","OH-ESR","EFTU","ESNU","13:49Z","15:45Z","","","1:56","1:56","1:56","","1:56","","","self","1","","940:05","779:51","160:14","81:56","261:02","2442","93:22"
"17/07/2023","SR20","OH-ESR","ESNU","EFTU","14:18Z","16:32Z","","","2:14","2:14","1:50","","2:14","","","self","1","","942:19","782:05","160:14","83:46","261:02","2443","93:22"
"24/07/2023","P28A","OH-PDP","EFHV","EFLA","12:09Z","12:45Z","","","0:36","0:36","","","0:36","","","self","1","","942:55","782:41","160:14","83:46","261:02","2444","93:22"
"24/07/2023","P28A","OH-PDP","EFLA","EFRY","14:34Z","15:26Z","","","0:52","0:52","","","0:52","","","self","1","","943:47","783:33","160:14","83:46","261:02","2445","93:22"
"24/07/2023","P28A","OH-PDP","EFRY","EFHV","16:12Z","16:38Z","","","0:26","0:26","","","0:26","","","self","1","","944:13","783:59","160:14","83:46","261:02","2446","93:22"
"25/07/2023","P28A","OH-PDP","EFHV","EFHV","19:49Z","19:59Z","","","0:10","0:10","","","0:10","","","self","2","","944:23","784:09","160:14","83:46","261:02","2448","93:22"
"12/07/2023","C172","OH-CTL","Tuusulanjärvi","Tuusulanjärvi","18:00Z","19:08Z","","","1:08","1:08","","","1:08","","1:08","self","5","","945:31","785:17","160:14","83:46","262:10","2453","94:30"
"06/08/2023","P28A","OH-PDP","EFHV","EFHV","18:01Z","18:34Z","","","0:33","0:33","","","0:33","","","self","2","","946:04","785:50","160:14","83:46","262:10","2455","94:30"
"05/08/2023","C172","OH-CTL","Tuusulanjärvi","Kahvisaari","11:10Z","12:30Z","","","1:20","1:20","","","1:20","","","self","5","","947:24","787:10","160:14","83:46","263:30","2460","94:30"
"11/08/2023","P28A","OH-PDP","EFHV","EFHV","18:28Z","19:28Z","","","1:00","1:00","","","1:00","","","self","4","","948:24","788:10","160:14","83:46","263:30","2464","94:30"
"19/08/2023","C172","OH-CTL","Ranua","Viitasaari","11:58Z","14:21Z","","","2:23","2:23","","","2:23","","","self","1","","950:47","790:33","160:14","83:46","265:53","2465","94:30"
"19/08/2023","C172","OH-CTL","Kahvisaari","Tuusulanjärvi","18:00Z","18:37Z","","","0:37","0:37","","","0:37","","","self","1","","951:24","791:10","160:14","83:46","266:30","2466","94:30"
"20/08/2023","C172","OH-CTL","Tuusulanjärvi","Tuusulanjärvi","19:47Z","20:47Z","","","1:00","1:00","","","1:00","","","self","5","","952:24","792:10","160:14","83:46","267:30","2471","94:30"
"04/09/2023","C172","OH-CTL","Tuusulanjärvi","Kahvisaari","11:25","12:15","","","0:50","0:50","","","0:50","","","self","1","","953:14","793:00","160:14","83:46","268:20","2472","94:30"
"04/09/2023","C172","OH-GKT","Kahvisaari","Kahvisaari","11:05Z","12:10Z","","","1:05","1:05","","","","1:05","","Ravantti","6","","954:19","793:00","161:19","83:46","269:25","2478","94:30"
"04/09/2023","C172","OH-CTL","Kahvisaari","Tuusulanjärvi","16:53Z","17:35Z","","","0:42","0:42","","","0:42","","","self","1","","955:01","793:42","161:19","83:46","270:07","2479","94:30"
